team,season,total_icetime,total_games,total_shots_against,total_saves,total_gsax,num_goalies,team_save_pct,team_gsax_per_60
UTA,2025,57247.0,16.0,423.84,334.0,1.3299999999999965,2.0,0.7880332200830502,0.001393959508795217
VAN,2021,295983.0,88.0,2521.15,2381.0,18.93,4.0,0.944410288955437,0.0038373825523763186
VAN,2022,295818.0,86.0,2522.06,2231.0,-34.22000000000001,4.0,0.88459433954783,-0.006940754112325824
VAN,2023,295355.0,84.0,2434.89,2123.0,21.540000000000006,3.0,0.8719079712019845,0.00437575121464001
VAN,2024,296875.0,86.0,2453.1099999999997,1945.0,-9.610000000000001,4.0,0.7928710901671756,-0.0019422315789473686
VAN,2025,61306.0,17.0,578.81,455.0,7.919999999999998,2.0,0.7860956099583629,0.007751280461944995
VGK,2021,295549.0,87.0,2408.0600000000004,2215.0,5.3999999999999915,3.0,0.9198275790470336,0.0010962649171541757
VGK,2022,399183.0,118.0,3373.0600000000004,3008.0,-8.330000000000005,5.0,0.8917718629375107,-0.0012520573270905833
VGK,2023,295863.0,87.0,2597.49,2244.0,6.990000000000009,3.0,0.8639109293972258,0.0014175479867371066
VGK,2024,295421.0,84.0,2459.54,1927.0,17.5,3.0,0.7834798376932272,0.0035542496978887756
VGK,2025,51146.0,16.0,419.78999999999996,321.0,-1.1199999999999992,3.0,0.7646680483098693,-0.0013138857388652085
WPG,2021,295699.0,85.0,2659.56,2468.0,26.980000000000004,2.0,0.9279730481733821,0.005474485879221776
WPG,2022,293981.0,85.0,2466.81,2263.0,26.830000000000013,2.0,0.9173791252670453,0.005475864086454569
WPG,2023,295102.0,83.0,2531.01,2231.0,46.190000000000005,2.0,0.8814662921126348,0.009391329099768895
WPG,2024,295255.0,83.0,2476.09,2039.0,42.06,2.0,0.823475721803327,0.008547188023911535
WPG,2025,53604.0,15.0,496.23,402.0,15.520000000000001,2.0,0.8101082159482498,0.017371837922543095
WSH,2021,296811.0,92.0,2386.3900000000003,2138.0,-16.540000000000003,4.0,0.8959139118082122,-0.0033435418498640557
WSH,2022,294951.0,88.0,2578.85,2288.0,4.839999999999989,2.0,0.8872171704441902,0.0009845703184596741
WSH,2023,297825.0,87.0,2679.61,2251.0,5.739999999999986,3.0,0.8400476188699101,0.0011563837824225607
WSH,2024,296529.0,84.0,2516.07,2002.0,19.99000000000001,4.0,0.7956853346687492,0.004044798316522163
WSH,2025,53720.0,15.0,438.45,341.0,10.880000000000003,2.0,0.7777397650815373,0.012151898734177217
